# ln a,ln lambda, ln Gamma, ln P_GP, s, gamma_0, P_b, T0_b, K_b, h_b, k_b, P_c, T0_c, K_c, h_c, k_c, P_d, T0_d, K_d, h_d, k_d
1.933178,5.994667,1.287937,3.271106,0.130692,0.429136,2.252920,1366.170751,0.849297,-0.112930,0.765057,3.690302,1367.274428,2.203007,0.030442,-0.409745,7.451370,1362.737114,1.329608,0.106148,0.089412
2.042782,1.999648,1.026818,3.509628,0.000842,0.050505,2.253188,1366.171004,0.495431,0.084322,0.223702,3.690750,1367.275256,2.136957,-0.293510,-0.004357,7.451870,1362.737224,1.522578,-0.011250,0.433278
2.147188,7.900304,1.690193,3.960945,0.046033,-0.237915,2.253024,1366.170702,0.939487,-0.018816,-0.426642,3.690726,1367.274788,2.576251,-0.273393,0.001139,7.450792,1362.737590,1.892198,0.073663,-0.167296
2.021795,3.502367,0.960074,3.482329,0.324263,0.136016,2.253256,1366.170921,0.005416,0.203823,0.317980,3.689907,1367.274940,1.971195,-0.199702,0.292086,7.450008,1362.737390,1.148971,0.025177,0.177612
1.690365,7.788114,1.981913,3.929817,0.139413,0.036018,2.252784,1366.170856,0.773247,-0.151120,-0.039988,3.689979,1367.274889,2.099308,0.028304,0.056698,7.451551,1362.735932,1.798184,-0.024976,-0.118303
1.974117,8.341808,1.763293,3.935296,0.073438,-0.202005,2.252543,1366.170853,1.089935,-0.084097,0.119269,3.690321,1367.274499,2.090365,0.036226,-0.041722,7.451373,1362.736261,2.117322,0.244955,0.076103
1.917156,8.927052,1.279907,3.939863,0.131349,-0.093067,2.253520,1366.170745,0.727947,0.006216,-0.059937,3.690601,1367.274665,1.906133,0.019686,-0.071823,7.451599,1362.737755,1.722047,0.091349,-0.094994
2.216597,1.826597,-2.012582,3.855862,0.516797,0.338954,2.253098,1366.170862,0.548505,0.443155,0.436831,3.689926,1367.274996,1.352551,-0.259941,0.329786,7.450504,1362.738800,1.643472,-0.020493,-0.242424
1.695965,4.721020,1.738283,3.174125,0.051897,-0.077940,2.252673,1366.170867,0.630399,0.197010,-0.028186,3.690144,1367.275245,2.392581,-0.057146,0.336866,7.450516,1362.738317,2.106080,-0.039083,-0.188370
2.083353,7.281158,1.356289,3.302525,0.299193,0.403446,2.253068,1366.170746,0.127920,0.044887,0.071221,3.690084,1367.276116,2.226075,0.055155,0.046474,7.452667,1362.737523,1.734497,0.113693,0.311969
2.866663,8.075639,1.600957,3.886551,0.425597,0.070155,2.252942,1366.170866,0.554871,0.064067,0.032138,3.691072,1367.276595,2.544981,-0.171958,0.158248,7.450169,1362.738125,1.790157,-0.135953,-0.226010
2.213310,6.625850,1.416295,3.719626,0.274754,0.047268,2.253097,1366.170784,0.361737,0.200570,0.055636,3.690642,1367.275302,2.304359,0.083793,0.063087,7.451578,1362.738011,1.397891,0.144691,0.083653
1.935592,3.751908,1.213813,3.257482,0.019868,-0.347469,2.253029,1366.171139,0.307924,0.236694,0.486999,3.690490,1367.275934,2.428266,-0.101347,0.388229,7.450966,1362.736124,1.541979,-0.011121,-0.183772
1.990776,8.059073,1.845449,3.923518,0.246641,0.099785,2.253696,1366.170771,0.243791,0.048021,0.223040,3.690370,1367.275335,1.469793,-0.191782,0.399115,7.451514,1362.738441,1.723206,0.311820,-0.272651
1.841101,2.137316,0.798987,3.551094,0.023096,0.116823,2.253619,1366.170885,0.223953,0.432513,0.439205,3.690274,1367.275820,1.736288,-0.241666,0.403679,7.451842,1362.737977,1.244503,-0.570059,0.097821
2.538376,6.151646,1.807132,3.311412,0.262580,0.036675,2.253519,1366.170912,0.098371,0.152615,-0.602904,3.690270,1367.275119,2.706861,-0.326822,-0.061300,7.450506,1362.736304,1.972039,-0.177614,0.147675
2.602422,3.792001,-1.005428,3.307519,0.002352,0.262150,2.252986,1366.170845,0.138781,-0.152273,-0.243445,3.690508,1367.275253,2.647662,-0.249207,0.009564,7.451917,1362.736677,1.255258,-0.166468,-0.379671
2.027501,6.651452,1.586056,3.665456,0.111896,0.073863,2.253799,1366.171000,0.020218,0.310323,0.199715,3.690824,1367.274445,2.373053,0.020812,0.096258,7.451135,1362.736484,1.677214,0.137160,0.142763
1.762846,6.691314,1.138360,3.242752,0.009266,-0.067703,2.252880,1366.170965,0.754131,-0.328165,0.161587,3.689995,1367.275407,2.488207,-0.019992,-0.091602,7.449680,1362.736849,1.687964,-0.210730,0.375209
1.960123,5.758037,1.441664,3.664978,0.630480,-0.236281,2.253133,1366.171040,0.326378,-0.045220,0.156540,3.690517,1367.274947,2.198523,-0.261775,-0.073154,7.449874,1362.737484,2.256468,-0.129760,0.163419
1.616512,8.352101,1.547398,3.926987,0.002226,-0.048691,2.253086,1366.170871,0.446750,0.150768,-0.390593,3.689961,1367.275042,1.744571,-0.139543,0.081222,7.452364,1362.737595,1.851874,0.023123,-0.104365
2.259451,9.308872,1.764315,3.918021,0.327523,0.065231,2.253211,1366.170659,0.216215,0.261810,-0.554562,3.690473,1367.275592,2.651534,0.024524,-0.106150,7.451881,1362.737880,2.025059,-0.271054,-0.279284
1.227426,5.646565,1.593795,3.357338,0.316846,-0.120348,2.253043,1366.170898,0.951258,0.196642,-0.010258,3.690310,1367.275329,2.439512,-0.273792,0.080251,7.451503,1362.736945,1.123536,0.018755,0.148587
1.470480,7.046327,1.154535,3.278494,0.001583,-0.273387,2.253087,1366.170923,0.142059,0.088726,-0.495540,3.690817,1367.275872,2.342340,0.012384,-0.144186,7.451346,1362.738622,1.913353,0.077533,-0.157162
1.220785,3.077021,0.428348,3.289917,0.002746,0.263302,2.253127,1366.170886,0.129495,0.045498,0.325196,3.690443,1367.276174,2.527838,-0.190034,0.240696,7.451074,1362.736688,1.154648,-0.120992,0.194511
1.658237,7.438988,1.955359,3.901685,0.064583,0.277977,2.253282,1366.170786,0.787296,-0.053137,0.133803,3.690242,1367.274413,1.669405,0.100824,0.012952,7.450880,1362.737881,1.247625,-0.059079,-0.304429
2.238602,8.194767,1.414521,3.937469,0.102670,0.138583,2.253413,1366.170715,0.709400,-0.070197,0.129328,3.690487,1367.275558,2.083940,0.062557,0.061095,7.451354,1362.737550,1.798051,-0.104875,-0.220204
1.727409,2.671038,1.795543,3.684154,0.030206,-0.196090,2.253585,1366.170785,0.402867,0.210961,0.240611,3.690273,1367.275378,2.166742,-0.376104,0.123865,7.451460,1362.739145,1.610059,0.030314,0.257532
1.658126,7.935490,1.369231,3.951694,0.080268,0.396807,2.253269,1366.170794,0.904335,0.106779,0.273436,3.690769,1367.274627,2.012360,-0.067048,-0.031067,7.450687,1362.738726,1.460823,-0.082084,0.280163
2.050455,3.553545,1.640111,3.577521,0.417347,0.311673,2.253234,1366.170790,1.270073,-0.066392,-0.189623,3.690372,1367.275512,1.886203,-0.225551,-0.107275,7.450788,1362.738133,1.129653,-0.304447,0.113876
2.607074,6.320022,1.566814,3.915722,0.193809,0.228548,2.253416,1366.171019,0.219991,0.374323,-0.419185,3.690457,1367.275117,1.868828,0.162370,-0.285543,7.450625,1362.737151,1.551844,-0.094496,-0.424284
1.974959,6.000194,1.627261,3.613271,0.011648,0.245313,2.253038,1366.170731,0.140872,-0.355863,0.002527,3.690541,1367.274769,2.352841,-0.100648,0.294595,7.452866,1362.736186,1.795247,0.025619,-0.183062
2.568336,3.494352,-2.655259,2.236575,0.006196,0.207043,2.252975,1366.170860,0.680584,0.032445,-0.050818,3.689972,1367.274681,1.730441,0.087960,0.158292,7.452655,1362.738464,1.081367,-0.103261,-0.080584
1.501951,1.966177,-1.623353,3.285333,0.176371,0.674082,2.253120,1366.170786,0.127199,-0.400424,0.568638,3.691088,1367.274767,2.027827,0.018494,-0.100074,7.451198,1362.736964,1.537429,0.117779,0.414231
2.042631,5.965531,1.642776,3.684179,0.603624,0.066809,2.253753,1366.170759,0.929144,0.212201,-0.184824,3.690712,1367.275536,1.713813,-0.118234,-0.110873,7.450155,1362.738169,1.472409,-0.270135,0.272864
2.496136,1.917329,-3.030871,1.862189,0.558551,-0.287186,2.253248,1366.170849,0.001888,0.208108,-0.743725,3.690186,1367.275377,2.737810,-0.134637,-0.209679,7.452538,1362.739589,1.747724,-0.408748,-0.443161
2.636850,6.152160,1.132146,3.347099,0.010641,-0.164443,2.252696,1366.170982,0.025484,-0.032037,-0.185454,3.690926,1367.276483,1.915423,0.009537,0.042856,7.450729,1362.737224,1.172619,-0.169505,0.327070
2.049485,8.417607,1.524670,3.951783,0.319294,0.035796,2.252706,1366.170659,0.816072,0.039126,0.254566,3.690440,1367.276967,2.434744,-0.025737,-0.094161,7.450686,1362.737742,1.477061,-0.043501,-0.060445
1.744222,4.891745,1.594172,3.618671,0.257352,0.081475,2.253608,1366.170764,0.304925,-0.093565,-0.677112,3.690711,1367.273959,2.306681,-0.178408,0.237297,7.451637,1362.738536,1.687058,0.415011,-0.206072
1.654760,1.886831,1.085333,3.198831,0.001074,0.222776,2.252775,1366.170837,0.758084,-0.482592,-0.057643,3.690596,1367.276278,2.340830,-0.183672,0.340462,7.451955,1362.738067,0.867012,-0.120962,-0.425304
1.497770,6.034446,1.829992,3.601924,0.171380,0.054968,2.253385,1366.170665,0.408355,0.008608,0.230199,3.690521,1367.275361,2.351618,-0.094558,0.471820,7.451429,1362.737683,1.576112,-0.057079,-0.190433
2.011394,5.562289,0.624743,3.329255,0.030558,-0.151051,2.253538,1366.170778,0.487392,0.011225,0.025938,3.690868,1367.274137,2.322226,0.042922,0.088627,7.451053,1362.737118,1.740038,-0.182985,-0.047200
2.700485,8.549013,1.436639,3.954640,0.333475,-0.381452,2.253490,1366.170719,0.821992,-0.060780,-0.291356,3.690047,1367.274362,1.746432,0.001606,-0.102728,7.453542,1362.736726,1.506430,-0.335045,0.186373
